"","GEOID","NAME","variable","value"
"490","36043","Herkimer County, New York","P002001",64519
"491","36041","Hamilton County, New York","P002001",4836
"492","36045","Jefferson County, New York","P002001",116229
"493","36047","Kings County, New York","P002001",2504700
"494","36049","Lewis County, New York","P002001",27087
"495","36063","Niagara County, New York","P002001",216469
"496","36053","Madison County, New York","P002001",73442
"497","36055","Monroe County, New York","P002001",744344
"498","36057","Montgomery County, New York","P002001",50219
"499","36059","Nassau County, New York","P002001",1339532
"500","36061","New York County, New York","P002001",1585873
"501","36079","Putnam County, New York","P002001",99710
"502","36065","Oneida County, New York","P002001",234878
"503","36067","Onondaga County, New York","P002001",467026
"504","36069","Ontario County, New York","P002001",107931
"505","36071","Orange County, New York","P002001",372813
"506","36073","Orleans County, New York","P002001",42883
"507","36077","Otsego County, New York","P002001",62259
"508","36075","Oswego County, New York","P002001",122109
"509","36091","Saratoga County, New York","P002001",219607
"510","36081","Queens County, New York","P002001",2230722
"511","36083","Rensselaer County, New York","P002001",159429
"512","36085","Richmond County, New York","P002001",468730
"513","36087","Rockland County, New York","P002001",311687
"514","36089","St. Lawrence County, New York","P002001",111944
"515","36107","Tioga County, New York","P002001",51125
"516","36093","Schenectady County, New York","P002001",154727
"517","36095","Schoharie County, New York","P002001",32749
"518","36097","Schuyler County, New York","P002001",18343
"519","36099","Seneca County, New York","P002001",35251
"520","36101","Steuben County, New York","P002001",98990
"521","36103","Suffolk County, New York","P002001",1493350
"522","36105","Sullivan County, New York","P002001",77547
"523","36115","Washington County, New York","P002001",63216
"524","36109","Tompkins County, New York","P002001",101564
"525","36111","Ulster County, New York","P002001",182493
"526","36113","Warren County, New York","P002001",65707
"527","36117","Wayne County, New York","P002001",93772
"528","36119","Westchester County, New York","P002001",949113
"529","36121","Wyoming County, New York","P002001",42155
"530","36123","Yates County, New York","P002001",25348
"531","37007","Anson County, North Carolina","P002001",26948
"532","37011","Avery County, North Carolina","P002001",17797
"533","37003","Alexander County, North Carolina","P002001",37198
"534","37015","Bertie County, North Carolina","P002001",21282
"535","37013","Beaufort County, North Carolina","P002001",47759
"536","37005","Alleghany County, North Carolina","P002001",11155
"537","37001","Alamance County, North Carolina","P002001",151131
"538","37009","Ashe County, North Carolina","P002001",27281
"539","37017","Bladen County, North Carolina","P002001",35190
"540","18061","Harrison County, Indiana","P002001",39364
"541","18073","Jasper County, Indiana","P002001",33478
"542","18059","Hancock County, Indiana","P002001",70002
"543","37019","Brunswick County, North Carolina","P002001",107431
"544","37021","Buncombe County, North Carolina","P002001",238318
"545","37023","Burke County, North Carolina","P002001",90912
"546","18063","Hendricks County, Indiana","P002001",145448
"547","18065","Henry County, Indiana","P002001",49462
"548","18067","Howard County, Indiana","P002001",82752
"549","18069","Huntington County, Indiana","P002001",37124
"550","18071","Jackson County, Indiana","P002001",42376
"551","18089","Lake County, Indiana","P002001",496005
"552","18075","Jay County, Indiana","P002001",21253
"553","18077","Jefferson County, Indiana","P002001",32428
"554","18079","Jennings County, Indiana","P002001",28525
"555","18087","LaGrange County, Indiana","P002001",37128
"556","18085","Kosciusko County, Indiana","P002001",77358
"557","18081","Johnson County, Indiana","P002001",139654
"558","18083","Knox County, Indiana","P002001",38440
"559","12123","Taylor County, Florida","P002001",22570
"560","12125","Union County, Florida","P002001",15535
"561","12127","Volusia County, Florida","P002001",494593
"562","13001","Appling County, Georgia","P002001",18236
"563","13025","Brantley County, Georgia","P002001",18411
"564","13003","Atkinson County, Georgia","P002001",8375
"565","12131","Walton County, Florida","P002001",55043
"566","12133","Washington County, Florida","P002001",24896
"567","29071","Franklin County, Missouri","P002001",101492
"568","29077","Greene County, Missouri","P002001",275174
"569","29061","Daviess County, Missouri","P002001",8433
"570","29057","Dade County, Missouri","P002001",7883
"571","29059","Dallas County, Missouri","P002001",16777
"572","29063","DeKalb County, Missouri","P002001",12892
"573","29069","Dunklin County, Missouri","P002001",31953
"574","29065","Dent County, Missouri","P002001",15657
"575","29073","Gasconade County, Missouri","P002001",15222
"576","29075","Gentry County, Missouri","P002001",6738
"577","29067","Douglas County, Missouri","P002001",13684
"578","29099","Jefferson County, Missouri","P002001",218733
"579","29079","Grundy County, Missouri","P002001",10261
